/Users/cuing/Desktop/pytorch-cifar100/.venv/lib/python3.12/site-packages/torchvision/datasets/cifar.py:83: VisibleDeprecationWarning: dtype(): align should be passed as Python or NumPy boolean but got `align=0`. Did you mean to pass a tuple to create a subarray type? (Deprecated NumPy 2.4)
  entry = pickle.load(f, encoding="latin1")
Using device: mps
Training Epoch: 1 [42880/50000]	Loss: 4.0592	LR: 0.085422
Training Epoch: 1 [43008/50000]	Loss: 4.3592	LR: 0.085678
Training Epoch: 1 [43136/50000]	Loss: 4.2421	LR: 0.085934
Training Epoch: 1 [43264/50000]	Loss: 4.1484	LR: 0.086189
Training Epoch: 1 [43392/50000]	Loss: 4.2213	LR: 0.086445
Training Epoch: 1 [43520/50000]	Loss: 4.0917	LR: 0.086701
Training Epoch: 1 [43648/50000]	Loss: 4.2660	LR: 0.086957
Training Epoch: 1 [43776/50000]	Loss: 4.2060	LR: 0.087212
Training Epoch: 1 [43904/50000]	Loss: 4.1611	LR: 0.087468
Training Epoch: 1 [44032/50000]	Loss: 4.2302	LR: 0.087724
Training Epoch: 1 [44160/50000]	Loss: 4.2052	LR: 0.087980
Training Epoch: 1 [44288/50000]	Loss: 4.1936	LR: 0.088235
Training Epoch: 1 [44416/50000]	Loss: 4.0641	LR: 0.088491
Training Epoch: 1 [44544/50000]	Loss: 4.3011	LR: 0.088747
Training Epoch: 1 [44672/50000]	Loss: 4.1816	LR: 0.089003
Training Epoch: 1 [44800/50000]	Loss: 4.1182	LR: 0.089258
Training Epoch: 1 [44928/50000]	Loss: 4.1843	LR: 0.089514
Training Epoch: 1 [45056/50000]	Loss: 4.1340	LR: 0.089770
Training Epoch: 1 [45184/50000]	Loss: 4.1252	LR: 0.090026
Training Epoch: 1 [45312/50000]	Loss: 4.2106	LR: 0.090281
Training Epoch: 1 [45440/50000]	Loss: 4.1346	LR: 0.090537
Training Epoch: 1 [45568/50000]	Loss: 4.1806	LR: 0.090793
Training Epoch: 1 [45696/50000]	Loss: 4.1604	LR: 0.091049
Training Epoch: 1 [45824/50000]	Loss: 4.1982	LR: 0.091304
Training Epoch: 1 [45952/50000]	Loss: 4.4289	LR: 0.091560
Training Epoch: 1 [46080/50000]	Loss: 4.2075	LR: 0.091816
